"ID","Heard_of_brand","Purchased_last6mo","Satisfaction","Buying_likelihood","Recommend_likelihood","is_relaxing","is_wholesome","is_fun","is_exciting","is_premium_quality","is_memorable","is_treat","is_good_for_regular","is_interesting","taste_better_other_brands","has_many_flavors","is_enjoyable","has_best_value/price","is_organic","is_low_cal","is_great_for_family","is_great_for_guests","Gender","Age","Marital","Children_less_18","Household_size","Education","Employment","Ethnicity","Household_income","Residence_state","Satisfaction_cat","Buying_likelihood_cat","Recommend_likehood_cat","is_relaxing.1","is_wholesome.1","is_fun.1","is_exciting.1","is_premium_quality.1","is_memorable.1","is_treat.1","is_good_for_regular.1","is_interesting.1","taste_better_other_brands.1","has_many_flavors.1","is_enjoyable.1","has_best_value/price.1","is_organic.1","is_low_cal.1","is_great_for_family.1","is_great_for_guests.1"
10834969,"yes","no",NA,NA,NA,2,4,1,2,5,4,6,5,3,5,4,5,3,4,3,6,5,"Female","55-64","Divorced","No",1,"Some college or Associate's Degree","Retired","High school or less","under $50,000",48,NA,NA,NA,"Does not describe","Neither does nor does not describe","Does not describe at all","Does not describe","Somewhat does describe well","Neither does nor does not describe","Does describe well","Somewhat does describe well","Not Somewhat does describe","Somewhat does describe well","Neither does nor does not describe","Somewhat does describe well","Not Somewhat does describe","Neither does nor does not describe","Not Somewhat does describe","Does describe well","Somewhat does describe well"
10834996,"yes","no",NA,NA,NA,4,4,4,4,4,4,7,4,4,5,7,4,4,2,4,6,6,"Female","55-64","Married","No",2,"Graduated College/Bachelor's Degree","Employed full-time (30+ hrs)","High school or less","$125,000 just under $150,000",7,NA,NA,NA,"Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Describes extremely well","Neither does nor does not describe","Neither does nor does not describe","Somewhat does describe well","Describes extremely well","Neither does nor does not describe","Neither does nor does not describe","Does not describe","Neither does nor does not describe","Does describe well","Does describe well"
10835019,"yes","no",NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Female","25-34","Single, not living with domestic partner","Yes",4,"Some college or Associate's Degree","Student","High school or less","$75,000 just under $100,000",23,NA,NA,NA,"Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe"
10835091,"yes","no",NA,NA,NA,6,6,3,4,6,4,2,6,6,5,7,5,5,6,2,6,6,"Female","18-24","Single, not living with domestic partner","No",2,"Attended Graduate School","Student","Graduated College/Bachelor's Degree","$75,000 just under $100,000",33,NA,NA,NA,"Does describe well","Does describe well","Not Somewhat does describe","Neither does nor does not describe","Does describe well","Neither does nor does not describe","Does not describe","Does describe well","Does describe well","Somewhat does describe well","Describes extremely well","Somewhat does describe well","Somewhat does describe well","Does describe well","Does not describe","Does describe well","Does describe well"
10835786,"yes","no",NA,NA,NA,4,4,4,4,5,4,6,5,4,5,5,6,4,4,4,3,6,"Male","65 or older","Married","No",2,"Some college or Associate's Degree","Retired","High school or less","$50,000 just under $75,000",39,NA,NA,NA,"Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Somewhat does describe well","Neither does nor does not describe","Does describe well","Somewhat does describe well","Neither does nor does not describe","Somewhat does describe well","Somewhat does describe well","Does describe well","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Not Somewhat does describe","Does describe well"
10836112,"yes","yes",6,6,6,5,6,5,4,6,5,3,6,6,6,6,6,6,2,3,6,6,"Male","65 or older","Widowed","No",1,"Some college or Associate's Degree","Retired","High school or less","under $50,000",29,"Satisfied","Likely to purchase again","Likely to recommend","Somewhat does describe well","Does describe well","Somewhat does describe well","Neither does nor does not describe","Does describe well","Somewhat does describe well","Not Somewhat does describe","Does describe well","Does describe well","Does describe well","Does describe well","Does describe well","Does describe well","Does not describe","Not Somewhat does describe","Does describe well","Does describe well"
10836262,"yes","yes",7,7,7,4,7,5,4,7,4,1,7,5,7,7,7,7,4,4,7,7,"Female","65 or older","Widowed","Yes",1,"Some college or Associate's Degree","Retired","High school or less","under $50,000",5,"Extremely Satisfied","Extremely Likely to purchase again","Extremely Likely to recommend","Neither does nor does not describe","Describes extremely well","Somewhat does describe well","Neither does nor does not describe","Describes extremely well","Neither does nor does not describe","Does not describe at all","Describes extremely well","Somewhat does describe well","Describes extremely well","Describes extremely well","Describes extremely well","Describes extremely well","Neither does nor does not describe","Neither does nor does not describe","Describes extremely well","Describes extremely well"
10836648,"yes","no",NA,NA,NA,4,3,4,4,4,4,4,4,4,3,5,4,3,4,4,4,3,"Female","55-64","Single, living with domestic partner","No",2,"Advanced Degree (Master's, PhD.D.)","Retired","High school or less","$75,000 just under $100,000",44,NA,NA,NA,"Neither does nor does not describe","Not Somewhat does describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Not Somewhat does describe","Somewhat does describe well","Neither does nor does not describe","Not Somewhat does describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Not Somewhat does describe"
10836724,"yes","yes",7,6,6,5,6,5,5,6,5,4,5,6,6,6,5,3,4,6,6,5,"Female","55-64","Married","No",2,"Graduated College/Bachelor's Degree","Employed full-time (30+ hrs)","High school or less","$75,000 just under $100,000",26,"Extremely Satisfied","Likely to purchase again","Likely to recommend","Somewhat does describe well","Does describe well","Somewhat does describe well","Somewhat does describe well","Does describe well","Somewhat does describe well","Neither does nor does not describe","Somewhat does describe well","Does describe well","Does describe well","Does describe well","Somewhat does describe well","Not Somewhat does describe","Neither does nor does not describe","Does describe well","Does describe well","Somewhat does describe well"
10836738,"yes","no",NA,NA,NA,4,4,4,4,4,4,4,5,4,4,5,4,5,4,4,4,4,"Female","25-34","Single, not living with domestic partner","No",1,"Attended Graduate School","Employed full-time (30+ hrs)","Graduated College/Bachelor's Degree","under $50,000",47,NA,NA,NA,"Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Somewhat does describe well","Neither does nor does not describe","Neither does nor does not describe","Somewhat does describe well","Neither does nor does not describe","Somewhat does describe well","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe"
10836939,"yes","yes",6,7,7,7,7,7,7,7,7,7,6,6,7,6,6,7,7,5,7,6,"Female","25-34","Single, not living with domestic partner","Yes",6,"Graduated College/Bachelor's Degree","Employed part time","High school or less","$50,000 just under $75,000",44,"Satisfied","Extremely Likely to purchase again","Extremely Likely to recommend","Describes extremely well","Describes extremely well","Describes extremely well","Describes extremely well","Describes extremely well","Describes extremely well","Describes extremely well","Does describe well","Does describe well","Describes extremely well","Does describe well","Does describe well","Describes extremely well","Describes extremely well","Somewhat does describe well","Describes extremely well","Does describe well"
10837262,"yes","no",NA,NA,NA,4,4,4,4,5,4,5,6,4,4,5,6,4,4,4,4,4,"Male","35-44","Single, not living with domestic partner","No",3,"Some college or Associate's Degree","Employed full-time (30+ hrs)","High school or less","Prefer not to say",14,NA,NA,NA,"Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Somewhat does describe well","Neither does nor does not describe","Somewhat does describe well","Does describe well","Neither does nor does not describe","Neither does nor does not describe","Somewhat does describe well","Does describe well","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe"
10837353,"yes","yes",5,7,7,1,3,3,2,5,4,2,6,4,3,5,6,4,1,3,6,4,"Male","45-54","Married","Yes",4,"Graduated College/Bachelor's Degree","Employed full-time (30+ hrs)","High school or less","$150,000 just under $175,000",5,"Somewhat Satisfied","Extremely Likely to purchase again","Extremely Likely to recommend","Does not describe at all","Not Somewhat does describe","Not Somewhat does describe","Does not describe","Somewhat does describe well","Neither does nor does not describe","Does not describe","Does describe well","Neither does nor does not describe","Not Somewhat does describe","Somewhat does describe well","Does describe well","Neither does nor does not describe","Does not describe at all","Not Somewhat does describe","Does describe well","Neither does nor does not describe"
10837367,"yes","no",NA,NA,NA,5,4,4,5,4,5,4,5,4,5,4,5,4,4,4,4,5,"Female","18-24","Single, not living with domestic partner","No",3,"Graduated College/Bachelor's Degree","Student","Attended Graduate School","under $50,000",43,NA,NA,NA,"Somewhat does describe well","Neither does nor does not describe","Neither does nor does not describe","Somewhat does describe well","Neither does nor does not describe","Somewhat does describe well","Neither does nor does not describe","Somewhat does describe well","Neither does nor does not describe","Somewhat does describe well","Neither does nor does not describe","Somewhat does describe well","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Somewhat does describe well"
10837379,"yes","no",NA,NA,NA,4,4,6,5,4,4,4,5,5,3,5,5,2,2,4,4,5,"Male","65 or older","Married","No",2,"Graduated College/Bachelor's Degree","Retired","High school or less","$50,000 just under $75,000",17,NA,NA,NA,"Neither does nor does not describe","Neither does nor does not describe","Does describe well","Somewhat does describe well","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Somewhat does describe well","Somewhat does describe well","Not Somewhat does describe","Somewhat does describe well","Somewhat does describe well","Does not describe","Does not describe","Neither does nor does not describe","Neither does nor does not describe","Somewhat does describe well"
10837406,"yes","no",NA,NA,NA,4,2,5,4,5,5,5,4,5,5,5,4,3,3,2,5,5,"Female","35-44","Divorced","Yes",2,"Graduated College/Bachelor's Degree","Employed full-time (30+ hrs)","High school or less","$50,000 just under $75,000",14,NA,NA,NA,"Neither does nor does not describe","Does not describe","Somewhat does describe well","Neither does nor does not describe","Somewhat does describe well","Somewhat does describe well","Somewhat does describe well","Neither does nor does not describe","Somewhat does describe well","Somewhat does describe well","Somewhat does describe well","Neither does nor does not describe","Not Somewhat does describe","Not Somewhat does describe","Does not describe","Somewhat does describe well","Somewhat does describe well"
10837432,"yes","no",NA,NA,NA,6,6,5,2,5,4,4,4,4,5,5,6,4,4,3,5,5,"Male","65 or older","Married","No",2,"Advanced Degree (Master's, PhD.D.)","Employed part time","High school or less","$50,000 just under $75,000",7,NA,NA,NA,"Does describe well","Does describe well","Somewhat does describe well","Does not describe","Somewhat does describe well","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Somewhat does describe well","Somewhat does describe well","Does describe well","Neither does nor does not describe","Neither does nor does not describe","Not Somewhat does describe","Somewhat does describe well","Somewhat does describe well"
10837461,"yes","yes",6,6,6,1,3,1,1,3,4,4,4,1,3,6,4,4,1,1,3,3,"Female","65 or older","Married","No",2,"Some college or Associate's Degree","Employed part time","High school or less","Prefer not to say",3,"Satisfied","Likely to purchase again","Likely to recommend","Does not describe at all","Not Somewhat does describe","Does not describe at all","Does not describe at all","Not Somewhat does describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Does not describe at all","Not Somewhat does describe","Does describe well","Neither does nor does not describe","Neither does nor does not describe","Does not describe at all","Does not describe at all","Not Somewhat does describe","Not Somewhat does describe"
10837472,"yes","yes",6,6,6,4,4,4,4,4,4,4,4,4,4,4,5,4,3,4,5,4,"Female","25-34","Divorced","No",2,"Advanced Degree (Master's, PhD.D.)","Employed full-time (30+ hrs)","High school or less","under $50,000",6,"Satisfied","Likely to purchase again","Likely to recommend","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Somewhat does describe well","Neither does nor does not describe","Not Somewhat does describe","Neither does nor does not describe","Somewhat does describe well","Neither does nor does not describe"
10837533,"yes","yes",7,7,7,1,2,5,2,7,2,2,6,4,6,5,7,5,3,2,7,7,"Female","55-64","Married","No",2,"Graduated College/Bachelor's Degree","Employed part time","High school or less","$175,000 just under $200,000",5,"Extremely Satisfied","Extremely Likely to purchase again","Extremely Likely to recommend","Does not describe at all","Does not describe","Somewhat does describe well","Does not describe","Describes extremely well","Does not describe","Does not describe","Does describe well","Neither does nor does not describe","Does describe well","Somewhat does describe well","Describes extremely well","Somewhat does describe well","Not Somewhat does describe","Does not describe","Describes extremely well","Describes extremely well"
10837597,"yes","no",NA,NA,NA,4,5,4,4,5,5,5,5,4,5,4,5,3,5,3,5,5,"Male","45-54","Married","No",3,"Graduated College/Bachelor's Degree","Retired","Graduated College/Bachelor's Degree","under $50,000",31,NA,NA,NA,"Neither does nor does not describe","Somewhat does describe well","Neither does nor does not describe","Neither does nor does not describe","Somewhat does describe well","Somewhat does describe well","Somewhat does describe well","Somewhat does describe well","Neither does nor does not describe","Somewhat does describe well","Neither does nor does not describe","Somewhat does describe well","Not Somewhat does describe","Somewhat does describe well","Not Somewhat does describe","Somewhat does describe well","Somewhat does describe well"
10837608,"yes","no",NA,NA,NA,2,2,2,2,4,2,5,2,2,4,4,5,3,2,2,6,6,"Male","65 or older","Single, living with domestic partner","No",2,"Some college or Associate's Degree","Retired","High school or less","$75,000 just under $100,000",5,NA,NA,NA,"Does not describe","Does not describe","Does not describe","Does not describe","Neither does nor does not describe","Does not describe","Somewhat does describe well","Does not describe","Does not describe","Neither does nor does not describe","Neither does nor does not describe","Somewhat does describe well","Not Somewhat does describe","Does not describe","Does not describe","Does describe well","Does describe well"
10837617,"yes","no",NA,NA,NA,4,2,4,4,4,3,3,4,4,4,5,5,4,2,4,5,5,"Male","65 or older","Divorced","No",1,"Some college or Associate's Degree","Retired","High school or less","$50,000 just under $75,000",38,NA,NA,NA,"Neither does nor does not describe","Does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Not Somewhat does describe","Not Somewhat does describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Somewhat does describe well","Somewhat does describe well","Neither does nor does not describe","Does not describe","Neither does nor does not describe","Somewhat does describe well","Somewhat does describe well"
10837634,"yes","no",NA,NA,NA,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,"Female","55-64","Married","No",2,"Graduated College/Bachelor's Degree","Employed full-time (30+ hrs)","High school or less","$75,000 just under $100,000",23,NA,NA,NA,"Neither does nor does not describe","Somewhat does describe well","Neither does nor does not describe","Somewhat does describe well","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe"
10837656,"yes","no",NA,NA,NA,5,5,4,4,5,4,4,6,4,5,5,6,4,4,4,6,6,"Female","65 or older","Married","No",2,"Graduated College/Bachelor's Degree","Employed part time","High school or less","$50,000 just under $75,000",5,NA,NA,NA,"Somewhat does describe well","Somewhat does describe well","Neither does nor does not describe","Neither does nor does not describe","Somewhat does describe well","Neither does nor does not describe","Neither does nor does not describe","Does describe well","Neither does nor does not describe","Somewhat does describe well","Somewhat does describe well","Does describe well","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Does describe well","Does describe well"
10837742,"yes","yes",6,7,6,6,7,6,6,5,7,5,7,6,7,7,7,6,5,1,7,7,"Male","55-64","Single, living with domestic partner","No",2,"Advanced Degree (Master's, PhD.D.)","Retired","High school or less","$50,000 just under $75,000",48,"Satisfied","Extremely Likely to purchase again","Likely to recommend","Does describe well","Describes extremely well","Does describe well","Does describe well","Somewhat does describe well","Describes extremely well","Somewhat does describe well","Describes extremely well","Does describe well","Describes extremely well","Describes extremely well","Describes extremely well","Does describe well","Somewhat does describe well","Does not describe at all","Describes extremely well","Describes extremely well"
10837833,"yes","no",NA,NA,NA,5,4,4,4,6,6,6,6,6,4,5,5,5,4,4,5,5,"Male","45-54","Single, not living with domestic partner","No",1,"Graduated College/Bachelor's Degree","Employed full-time (30+ hrs)","High school or less","under $50,000",10,NA,NA,NA,"Somewhat does describe well","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Does describe well","Does describe well","Does describe well","Does describe well","Does describe well","Neither does nor does not describe","Somewhat does describe well","Somewhat does describe well","Somewhat does describe well","Neither does nor does not describe","Neither does nor does not describe","Somewhat does describe well","Somewhat does describe well"
10837851,"yes","no",NA,NA,NA,4,4,4,4,6,4,5,5,5,5,5,5,5,4,4,5,5,"Male","45-54","Married","No",3,"Graduated College/Bachelor's Degree","Retired","High school or less","$50,000 just under $75,000",50,NA,NA,NA,"Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Does describe well","Neither does nor does not describe","Somewhat does describe well","Somewhat does describe well","Somewhat does describe well","Somewhat does describe well","Somewhat does describe well","Somewhat does describe well","Somewhat does describe well","Neither does nor does not describe","Neither does nor does not describe","Somewhat does describe well","Somewhat does describe well"
10837898,"yes","no",NA,NA,NA,3,4,4,3,1,5,4,5,4,7,6,6,4,1,1,7,7,"Female","35-44","Single, living with domestic partner","No",2,"Advanced Degree (Master's, PhD.D.)","Employed full-time (30+ hrs)","High school or less","$125,000 just under $150,000",10,NA,NA,NA,"Not Somewhat does describe","Neither does nor does not describe","Neither does nor does not describe","Not Somewhat does describe","Does not describe at all","Somewhat does describe well","Neither does nor does not describe","Somewhat does describe well","Neither does nor does not describe","Describes extremely well","Does describe well","Does describe well","Neither does nor does not describe","Does not describe at all","Does not describe at all","Describes extremely well","Describes extremely well"
10837985,"yes","no",NA,NA,NA,7,6,7,7,6,7,3,7,6,7,7,7,7,5,5,7,7,"Female","35-44","Single, not living with domestic partner","No",1,"Graduated College/Bachelor's Degree","Employed full-time (30+ hrs)","High school or less","under $50,000",39,NA,NA,NA,"Describes extremely well","Does describe well","Describes extremely well","Describes extremely well","Does describe well","Describes extremely well","Not Somewhat does describe","Describes extremely well","Does describe well","Describes extremely well","Describes extremely well","Describes extremely well","Describes extremely well","Somewhat does describe well","Somewhat does describe well","Describes extremely well","Describes extremely well"
10837992,"yes","yes",7,7,7,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,"Female","55-64","Divorced","No",1,"Graduated College/Bachelor's Degree","Retired","High school or less","under $50,000",20,"Extremely Satisfied","Extremely Likely to purchase again","Extremely Likely to recommend","Somewhat does describe well","Somewhat does describe well","Somewhat does describe well","Somewhat does describe well","Somewhat does describe well","Somewhat does describe well","Not Somewhat does describe","Somewhat does describe well","Somewhat does describe well","Somewhat does describe well","Somewhat does describe well","Somewhat does describe well","Somewhat does describe well","Somewhat does describe well","Somewhat does describe well","Somewhat does describe well","Somewhat does describe well"
10838056,"yes","yes",5,6,5,2,3,2,2,3,2,3,4,2,3,3,2,4,2,2,4,3,"Male","65 or older","Single, living with domestic partner","No",2,"Attended Graduate School","Retired","High school or less","under $50,000",38,"Somewhat Satisfied","Likely to purchase again","Somewhat Likely to recommend","Does not describe","Not Somewhat does describe","Does not describe","Does not describe","Not Somewhat does describe","Does not describe","Not Somewhat does describe","Neither does nor does not describe","Does not describe","Not Somewhat does describe","Not Somewhat does describe","Does not describe","Neither does nor does not describe","Does not describe","Does not describe","Neither does nor does not describe","Not Somewhat does describe"
10838111,"yes","yes",6,7,7,4,5,5,5,6,4,4,6,5,5,6,5,6,4,4,6,6,"Female","55-64","Married","No",2,"Attended Graduate School","Employed full-time (30+ hrs)","High school or less","$50,000 just under $75,000",5,"Satisfied","Extremely Likely to purchase again","Extremely Likely to recommend","Neither does nor does not describe","Somewhat does describe well","Somewhat does describe well","Somewhat does describe well","Does describe well","Neither does nor does not describe","Neither does nor does not describe","Does describe well","Somewhat does describe well","Somewhat does describe well","Does describe well","Somewhat does describe well","Does describe well","Neither does nor does not describe","Neither does nor does not describe","Does describe well","Does describe well"
